title,artist,top10,peak_rank,ar1_coef,ma1_coef,ar1_manual,model_aic,mean_streams,std_streams,trend_slope,peak_day,volatility,early_late_ratio,danceability,energy,valence,tempo,acousticness,loudness,speechiness
$$$ - with Matt Ox,XXXTENTACION,0,28,-0.017147266114234193,-0.9114409488978007,-0.5116582412142047,547.8784996757066,49330.57142857143,152430.237029013,1067.6584415584425,12,229425.16921142285,1.4608791365586686,0.774,0.507,0.508,140.067,0.0636,-6.952,0.065
'Til You Can't,Cody Johnson,0,127,-0.01610321971215081,-0.9999999999400817,-0.40381687933519705,228.0019034708381,216754.45454545456,15590.001005094351,-3049.3090909090947,0,17825.608757066337,1.0,0.501,0.815,0.46,160.087,0.0513,-4.865,0.0436
(Don't Fear) The Reaper,Blue Öyster Cult,0,43,-0.21269614085675853,-0.9525184324348897,-0.5056163369227928,561.024104403725,159540.61904761905,224634.73052437734,4654.827272727276,12,361152.0852494521,0.743843458567496,0.333,0.927,0.385,141.466,0.0029,-8.55,0.0733
(Everything I Do) I Do It For You,Bryan Adams,0,92,0.2581393317621048,-0.785952732436721,-0.35333894740952654,421.20911038920326,19987.21052631579,19438.042988398716,59.336842105262605,7,26299.714221092047,1.0,0.533,0.36,0.299,131.229,0.0805,-12.633,0.0282
(Sittin' On) the Dock of the Bay,Otis Redding,0,121,0.13350392440046335,-0.942587956803653,-0.27484273583545904,460.99878207437604,44458.76190476191,17705.52363073594,-210.719480519479,7,24220.949625479177,0.9569278418892482,0.769,0.367,0.535,103.621,0.684,-11.226,0.0312
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,0,49,-0.011194468090440357,-0.9316805656404464,-0.48774670358793565,560.0648266572443,90399.71428571429,208698.96432379133,-4129.102597402595,10,313215.1581199855,2.62664215165122,0.603,0.271,0.405,110.89,0.679,-10.083,0.0284
(não) era amor,GIULIA BE,0,40,-0.13338006866113047,-0.9971837371588442,-0.5516693685788226,463.7021148465382,84573.14285714286,19385.04866492464,-228.32077922078102,1,30697.66840266537,1.014607875304735,0.625,0.555,0.328,88.888,0.415,-6.43,0.146
0.03,ØZI,1,8,0.009280873564432123,0.41513340476011285,0.33384551867777973,372.5751445620326,18956.761904761905,3781.716905432567,333.3584415584418,12,2381.4690523918216,0.7822225022048633,0.786,0.669,0.679,117.945,0.0566,-5.944,0.0737
00:00 (Zero O’Clock),BTS,1,5,-0.2668387229515667,-0.5827898953164686,-0.9544205457617881,532.6324222527485,42621.142857142855,108187.18506951416,6285.544155844154,19,152437.72942700243,0.1656160277827126,0.56,0.547,0.199,157.962,0.0806,-6.456,0.0675
0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,1,7,-0.06589041455219845,-0.8729433436721648,-0.5225396224378746,562.3788425954519,68552.14285714286,220549.2250421522,8467.975324675328,16,332479.9484371952,0.055298665356688335,0.584,0.836,0.484,104.973,0.0558,-4.925,0.079
1+1,Ready Kirken,0,101,0.4400550844213045,-0.998532739406342,-0.32636608703779274,301.00980233224317,5271.476190476191,370.6179677302965,9.692207792207988,14,412.78791164470886,0.9614887428632986,0.636,0.713,0.904,175.004,0.0836,-6.619,0.0526
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,1,2,-0.022496826621698753,-0.9995318362916821,-0.4903183611729854,465.51801030818785,15347.190476190477,21061.666617948915,-922.6844155844157,10,30324.503724339822,3.490608102913667,0.792,0.895,0.794,94.968,0.165,-3.112,0.0589
10 NUMARA,Lvbel C5,1,1,-0.20406627193701976,0.9999999963163769,0.05534328580490984,501.8459640821544,375963.28571428574,85755.67458172076,9249.475324675324,9,61790.04920897458,0.7059283115280729,0.684,0.652,0.654,142.068,0.00667,-10.144,0.164
"10,000 Hours (with Justin Bieber)",Dan + Shay,1,2,-0.37895227136067544,-0.5163724517365579,-0.990821257557612,588.2496218529672,133139.19047619047,435711.6220361723,22183.24545454545,19,635471.716535331,0.17504425816388802,0.654,0.63,0.43,89.991,0.153,-4.644,0.0259
11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,0,11,0.14501228468087235,-0.8845648749990468,-0.4399891529548178,546.1703331409597,52603.857142857145,146303.5685055419,3029.8519480519467,14,202881.52621268897,0.1856054421052077,0.464,0.852,0.233,160.075,0.0116,-3.804,0.067
11 PM,Maluma,1,3,-0.5775395649390889,0.19304251457139038,-0.6391859902313332,563.4619500671936,95007.71428571429,236713.8771394583,10317.407792207792,20,265899.4396265062,0.36788910105672823,0.777,0.712,0.68,95.692,0.217,-4.84,0.277
11 RAZONES,Aitana,1,10,0.430387478761157,-0.9999999998298845,-0.1736246073465296,474.12612811246106,152578.09523809524,36923.86840888484,-4182.292207792208,4,30533.56609286737,1.4369094516552166,0.55,0.874,0.348,166.011,0.00599,-3.937,0.0508
11 Y 6,Fito Paez,0,113,-0.18907758695525212,-0.9980270768221363,-0.5240448307547599,323.24151529656615,21941.14285714286,1216.4097948946508,175.92077922077945,18,884.625491380392,0.8925949195555227,0.746,0.506,0.35,101.361,0.159,-7.945,0.0267
115万キロのフィルム,Official HIGE DANdism,1,6,-0.46981512796390684,0.7768892519991811,0.18760694034756262,325.73808186046375,11091.666666666666,2025.944984288833,319.4220779220781,20,715.5317183745246,0.6646284953395473,0.516,0.791,0.48,96.921,0.00345,-1.927,0.0318
12 Bande,Varinder Brar,0,70,0.09425122696203861,-0.23935687234195785,-0.02207055669799736,401.14097949034704,77086.85714285714,8984.42687726519,1158.598701298702,8,4535.771939537965,0.8121288644542458,0.706,0.693,0.838,141.794,0.0123,-5.502,0.259
12:51,krissy & ericka,0,123,-0.8783535548045661,0.993447171103266,0.1280320189671908,369.2715485527276,22506.0,2405.0659232624157,103.81168831168864,20,2031.678480345746,0.9584947185834986,0.503,0.357,0.438,136.135,0.727,-9.36,0.0272
134340,BTS,1,4,-0.08353899671182448,-0.8951695916283111,-0.5223256025234427,517.5874971399214,30840.714285714286,72750.15068754996,2821.724675324675,15,110559.24587613648,0.23047232314597135,0.665,0.687,0.651,106.023,0.155,-6.466,0.0547
13樓的大笨象,Stephanie Cheng,0,41,-0.26642884882180484,-0.9993506539201227,-0.5937469895855256,300.59857509229636,3292.5238095238096,462.78696312950564,51.831168831168846,18,550.0128612132629,0.7719526175009553,0.423,0.721,0.482,168.046,0.344,-5.838,0.0425
16 Lines,Lil Peep,0,23,0.03294284159514365,-0.9479121712689004,-0.4625713222524248,555.9057905431449,72477.57142857143,190314.85255793793,-2050.585714285712,13,278496.9528437026,4.4742003154830625,0.607,0.45,0.121,105.992,0.0663,-8.507,0.0338
17,Pink Sweat$,0,166,-0.21237196016420373,-0.9941327155171396,-0.10144017850916066,405.54245934583923,25760.333333333332,4759.082577989899,227.34415584415635,1,5728.561360411531,0.8957470010905125,0.558,0.364,0.252,129.17,0.169,-8.663,0.0502
17 (feat. Joshua and DK of SEVENTEEN),Pink Sweat$,0,80,-0.6564952786580577,-0.9999999649656238,-0.6970753921040089,195.4083953634049,29328.0,8792.730975072534,60.654545454545676,2,16760.705669607403,1.0,0.615,0.383,0.306,129.358,0.112,-8.575,0.0597
1950,King Princess,0,13,-0.05172570276043626,-0.9203296782667022,-0.49104145129755467,509.55400675022685,26387.380952380954,58381.579380809264,1410.449350649351,17,89215.08807565848,0.18547051983952814,0.6,0.535,0.269,71.912,0.648,-7.043,0.107
1x1 (feat. Nova Twins),Bring Me The Horizon,0,20,-0.06582602570648328,-0.9098981108044812,-0.5255347835739489,554.1834796713175,62326.380952380954,179178.24328982108,-5681.0441558441535,6,272228.75014755514,8.60959814416548,0.452,0.937,0.604,164.032,0.000209,-3.346,0.161
2 soon,keshi,0,91,-0.3213998197067975,0.8465893563975411,0.3091960667020655,298.4150240071511,6680.666666666667,844.6300025868376,116.3415584415586,18,386.9315830996482,0.7889473487816709,0.517,0.663,0.146,174.032,0.146,-6.688,0.0375
"20 Questions - From ""Bergman’s Reliquary""",Veronica Maggio,0,17,-0.7476036429241136,-0.9999991119134785,-0.2962278223260297,445.22515714243775,57876.0,14261.675454234148,-219.02337662337607,1,21496.931745251462,1.0543004028731147,0.713,0.624,0.481,110.002,0.379,-5.392,0.0784
20/20,Lil Tjay,0,52,-0.6617736168021147,-0.6132450810274969,-0.8545736166839671,529.8218723006264,161627.66666666666,118907.6716113462,936.2038961038983,2,219146.63101345525,0.9282793421728401,0.886,0.336,0.536,100.044,0.557,-12.779,0.239
2000 Miles - 2007 Remaster,Pretenders,0,23,-0.39440403609002245,-0.8957437234762762,-0.5846781972397073,490.7984992668076,34357.04761904762,38607.39849214222,-1309.6103896103887,5,66628.1913849348,2.3244113230454646,0.292,0.709,0.452,99.303,0.00292,-9.052,0.0303
2002,Anne-Marie,1,1,0.39814759226130303,-0.9157262416509819,-0.13234787347205887,516.4625861887502,39181.333333333336,73153.50335218685,1284.2480519480519,14,87276.56902541198,0.3416243520575479,0.697,0.683,0.603,96.133,0.0372,-2.881,0.117
2002 - Acoustic,Amber Leigh Irish,0,145,0.0985542170685588,-0.9911701865955822,-0.23131958511403758,261.1628023428633,21817.25,1078.9923250422128,-92.70882352941175,4,1346.1431325580995,1.0,0.589,0.296,0.611,165.799,0.842,-9.335,0.083
2055,Sleepy Hallow,1,7,0.09160042090982011,-0.8328301246570183,-0.3121738620735694,524.612987492725,81679.52380952382,83986.58056449315,5099.387012987013,15,113746.22576985796,0.26486178253662634,0.829,0.512,0.638,80.511,0.492,-5.865,0.187
2084,Dear Jane,0,12,-0.5763920350929237,0.9997148595788624,0.08075926973778556,326.729074258735,5654.285714285715,999.8606161364095,80.89870129870133,10,742.2732919888739,0.7989904064690543,0.361,0.846,0.443,104.932,0.132,-3.717,0.0337
23 (With Ape Drums),Randy,1,7,-0.029176289156977772,-0.9161569211202255,-0.39323412164357224,450.0295049831125,21492.095238095237,13980.98240946561,-943.6818181818182,19,19446.06159991015,2.1524716411697367,0.828,0.724,0.896,96.058,0.0424,-3.555,0.0715
23 de Junio,Vetusta Morla,0,65,0.7477909181089729,-0.9988582886742172,-0.03576499834746059,262.8108306705136,30106.0,9857.86686240604,-1161.450549450549,0,10079.324088270449,1.0,0.442,0.473,0.547,172.879,0.616,-8.63,0.0394
24 на 7,FACE,0,142,-0.6708105269131864,-0.323722267641834,-0.8408831327697133,408.40539239401375,6982.380952380952,6042.887259109163,501.6688311688311,13,8665.684711983238,0.34933232368831096,0.565,0.481,0.518,72.737,0.602,-13.575,0.757
295,Sidhu Moose Wala,1,2,0.3295926410397225,-0.9999999999457314,0.042533008558419134,457.19115094721263,168039.38095238095,40314.91785983635,-6024.912987012986,1,20369.089121693683,1.6539475897369373,0.557,0.794,0.432,91.366,0.179,-5.698,0.2
2U (feat. Justin Bieber),David Guetta,1,1,-0.5544599881631769,-0.3053344090992054,-0.775116216906972,513.492589388871,54074.47619047619,66205.87936747659,2436.7545454545448,19,102204.246235406,0.5503552935374683,0.548,0.65,0.557,144.937,0.219,-5.827,0.0591
2step,Ed Sheeran,1,9,0.9995969784503446,-0.9999999999996279,-0.14499093251198836,534.2827857966884,54981.90476190476,104713.68932606971,-8679.97792207792,1,118096.55473619881,8.725484542985752,0.693,0.643,0.477,95.055,0.138,-5.867,0.0828
34+35,Ariana Grande,1,1,-0.11735398855396016,-0.9999999998390895,-0.38355942959401534,502.9232490405647,44806.95238095238,52595.362890364784,1454.0740259740255,15,79848.59653549021,0.5921148574317647,0.83,0.585,0.485,109.978,0.237,-6.476,0.094
3:00 AM,Finding Hope,0,94,0.3643047696252091,-0.9999740791566926,-0.1912545771556078,319.09048787386155,8060.285714285715,851.743318302004,106.12207792207788,10,668.6576926948495,0.8469483410894239,0.55,0.147,0.0346,81.991,0.563,-18.675,0.0404
3:59 AM,DIVINE,0,12,0.060010959449881836,-0.9984001545016686,-0.16077416542660353,434.59458706679703,93712.19047619047,15794.151025945825,-2098.063636363634,1,12843.867066717095,1.3677316379394902,0.669,0.588,0.237,97.026,0.177,-6.902,0.339
5% TINT,Travis Scott,1,9,0.05518014000825815,-0.8699655124282502,-0.45595220321953117,593.1802178472041,134826.2857142857,472556.3079333854,17393.641558441563,16,678298.1496467667,0.07084839418342519,0.712,0.481,0.062,140.0,0.173,-5.415,0.0487
500 PS,CRO,0,35,-0.3954601208464915,0.9997131295123922,0.20753947076996415,212.9199100346972,8698.583333333334,3997.3821946021403,-875.5069930069927,0,2818.8758382971637,1.0,0.505,0.581,0.38,104.354,0.403,-6.524,0.0675
505,Arctic Monkeys,0,11,-0.9999999469483639,0.9999999495982764,-0.048103925708591816,431.96568071347775,41511.42857142857,15998.158038532134,1645.7038961038966,8,9700.13278504475,0.5787764424578214,0.526,0.866,0.248,140.266,0.00287,-5.822,0.0568
7 rings,Ariana Grande,1,1,0.38850101959893263,-0.9854037630535171,-0.07270774134666348,513.1586025696972,63546.90476190476,71012.08843630899,-1329.3753246753242,4,85017.16557348875,1.5672416032227159,0.778,0.317,0.327,140.048,0.592,-10.732,0.334
743,Miranda!,0,88,-0.13529956303648366,-0.999999896398588,-0.4513732388498312,401.71849439550215,16300.714285714286,4156.977601035421,-22.966233766233966,0,6405.417600750165,1.0594796876686698,0.851,0.747,0.959,110.972,0.098,-6.427,0.0302
8 Letters,Why Don't We,1,5,0.4016294391554547,-0.9999999588965827,-0.34247350696238554,380.21122439590016,5279.333333333333,2588.683712831555,-15.535064935064876,2,3004.3891409070166,1.100038662284941,0.607,0.478,0.255,88.979,0.649,-5.702,0.031
9 and Three Quarters (Run Away),TOMORROW X TOGETHER,0,42,0.011836381089088428,-0.7448950884208697,-0.4986252933876341,452.8578445048897,13911.333333333334,13899.582297024112,-68.44155844155871,13,19667.04328591362,1.392261101418743,0.639,0.756,0.531,128.931,0.0055,-4.42,0.0606
9 to 5,Dolly Parton,0,80,-0.47449066157303127,-0.9506912896804891,-0.6291272644883134,477.77283215666563,37416.80952380953,30417.878009985925,73.19870129870269,16,52666.84249753349,0.9748315389977539,0.554,0.783,0.813,105.39,0.416,-5.852,0.0457
@ my worst,blackbear,0,33,-0.06456663554193044,-0.9277045472460766,-0.5037565300702905,563.8642576747924,111468.04761904762,229512.82149006636,134.85324675324702,9,351169.13836729375,0.8625101762719974,0.615,0.774,0.336,136.887,0.0173,-5.152,0.0551
A Different Way (with Lauv),DJ Snake,0,17,0.09355937133990194,-0.8790408475789913,-0.4186504801267099,520.5705288278798,33344.57142857143,76714.4109188479,2143.688311688311,15,109183.43441817308,0.23975315032924838,0.784,0.757,0.587,104.996,0.495,-3.912,0.0384
A Ella,KAROL G,0,43,-0.4030637152382342,-0.932998386807509,-0.6971543986734466,417.2204215965645,7157.714285714285,6673.188537101337,78.65324675324688,17,11703.50863320483,0.8923700292268179,0.73,0.769,0.594,181.988,0.244,-4.936,0.178
A Holly Jolly Christmas,Brett Eldredge,0,56,-0.44182672093663766,0.9411432392355529,0.19792034552986007,399.4253895142344,15431.380952380952,4538.093615649538,-3.2701298701302846,20,4697.71715730098,0.9029695366498848,0.681,0.474,0.7,71.957,0.621,-8.623,0.0423
A Holly Jolly Christmas,Lady A,0,51,-0.5107810976331919,-0.9278359517452202,-0.8128861752593516,442.9916421322462,25979.52380952381,13617.476420356192,610.6584415584415,17,23549.50396563588,0.7360102030580513,0.626,0.52,0.746,147.031,0.392,-4.389,0.0284
A Little Bit Off,Five Finger Death Punch,0,49,-0.20442539925160463,-0.9807051700796995,-0.44771830753382874,234.63544724433456,9808.833333333334,6352.608989401301,-314.8391608391609,4,9745.758833444906,1.0,0.664,0.828,0.82,103.985,0.00839,-6.053,0.0404
A Mí,Rels B,0,44,-0.2357766734452204,-0.9999999214182038,-0.28297828107474127,456.1711194545821,79776.14285714286,16978.473772582107,-785.2077922077915,1,22803.586082620863,1.1556646515196878,0.846,0.548,0.516,94.925,0.241,-6.397,0.256
A Nossa Praia - Ao Vivo,Matheus & Kauan,0,59,0.4302095974008893,-0.9618190372755634,-0.08292659848657696,400.36972118018065,40650.47619047619,5386.891502430406,-533.7675324675323,1,4942.724919262653,1.1829047608409107,0.513,0.784,0.456,121.466,0.366,-5.174,0.108
A Place for My Head,Linkin Park,0,46,-0.9200093027379787,-0.07625545498062386,-0.6528332156380869,495.7979626746898,26344.04761904762,59018.17852595539,-4184.88181818182,1,86344.66768682071,7.944370687559603,0.603,0.908,0.457,133.063,0.0144,-5.254,0.184
A Roça ou a Cidade (Da Roça Pra Cidade) - Ao Vivo,Os Barões Da Pisadinha,0,107,0.48210273740611714,-0.9837961761453452,-0.009598651270030473,326.7229952964326,113515.66666666667,25253.677194068634,-3239.8464285714285,1,23615.11958222217,1.0,0.602,0.962,0.835,172.201,0.293,-2.375,0.0621
A Thousand Miles,Vanessa Carlton,0,61,-0.3927973504812471,-0.9898584459732905,-0.7171554239475081,425.2967750532411,13345.619047619048,8189.903886151478,224.6155844155842,19,13949.22514120408,0.852600820701077,0.56,0.825,0.268,94.931,0.323,-3.862,0.0379
A Thousand Years,Christina Perri,0,56,-0.2738562811859623,-0.9993830462779418,-0.6613713589781883,438.6363492074566,10292.809523809523,10817.33066984927,166.67142857142878,16,17758.781718561102,0.7873715124816446,0.421,0.407,0.161,139.028,0.309,-7.445,0.0267
A Tu Merced,Bad Bunny,1,8,-0.09091831707528511,-0.8973095762205472,-0.5400999930818641,595.3329596924514,217671.61904761905,507435.5926705403,-10239.803896103893,10,778896.1853521238,6.145055203194738,0.86,0.791,0.887,92.023,0.169,-4.784,0.0568
A-O-K,Tai Verdes,0,15,-0.21635803456632752,-0.9169019229974127,-0.5580211794094673,520.0744300366546,124379.71428571429,98002.69012252522,-9876.335064935061,1,127373.47079171354,3.3198281486645955,0.731,0.626,0.862,82.488,0.125,-6.919,0.0805
ABC,The Jackson 5,0,102,-0.930686038082098,0.09427521567272064,-0.7011212693671336,300.14410612699385,35719.07692307692,41728.497077880704,-677.6428571428537,1,71127.02753656657,1.0,0.53,0.869,0.935,187.93,0.318,-6.029,0.0588
ALL GIRLS ARE THE SAME,RØNIN,0,45,-0.1331586906862154,-0.9991675326059384,-0.523700452636976,300.5267811292271,1742.1904761904761,370.6309445420797,27.59740259740261,10,503.97865778225173,0.7843122042051361,0.785,0.343,0.468,118.065,0.593,-10.923,0.0862
"ALONE, PART 3",XXXTENTACION,0,22,0.7425851090050517,-0.9999999999885554,-0.4445497449593506,559.1307627630329,56281.19047619047,165301.075159589,-9747.305194805189,1,229296.99551626816,7.510526767397054,0.61,0.258,0.164,127.08,0.883,-12.758,0.0331
ANIMA,ReoNa,0,100,-0.6435946195446667,0.9990024223853375,0.08633925153166012,360.43850616861073,29370.0,2639.2873316574724,-29.574025974025876,8,1737.0329667280353,1.0124679934085434,0.455,0.918,0.498,96.513,0.000732,-4.503,0.141
ANTEN FREESTYLE (PLA4 INTRO),Khontkar,0,37,-0.5462310665457875,0.9999990621558259,0.5034098519628886,315.1126318285521,52763.76470588235,15179.559927471399,-2943.01470588235,0,3898.6170284313644,1.0,0.776,0.487,0.301,133.944,0.543,-10.646,0.101
ASAP,STAYC,1,4,0.05176419182230816,0.19487213752289295,0.3484867804251706,307.02573859742955,6503.809523809524,1915.2148361164932,296.948051948052,13,435.1776189097964,0.497830653214421,0.764,0.802,0.323,132.02,0.102,-4.217,0.0351
ASTROTHUNDER,Travis Scott,0,14,0.08050566311962203,-0.8983879742754282,-0.4520856429894665,587.0729207870496,118341.28571428571,405404.25478176284,9188.892207792207,14,580457.9909598519,0.09673716936349022,0.7,0.46,0.286,151.901,0.142,-8.111,0.0661
AUSLÄNDER,Rammstein,1,4,0.8242257579617723,0.4574918185819714,1.5676706714772888,524.1066053645014,85171.23809523809,233906.34865911305,18053.927272727273,20,155935.53236369026,0.09675964817714129,0.681,0.912,0.479,125.031,0.000757,-4.159,0.0912
AYA,MAMAMOO,0,22,0.21509573990058573,-0.9999688915689124,-0.13809042425409457,408.0242671005932,11153.333333333334,5009.612572543323,154.36103896103904,18,6428.619682910166,0.8677989952229889,0.634,0.858,0.637,91.688,0.101,-2.226,0.0809
Acapulco,Jason Derulo,0,17,-0.2763917111818524,-0.6797837586096583,-0.5641224030940164,482.9156436959795,29860.809523809523,28686.986702317776,-91.90519480519406,4,46880.55391361645,1.3687484507607501,0.774,0.792,0.507,122.062,0.051,-4.021,0.0523
Acordo - Ao Vivo,Henrique & Juliano,0,27,-0.5892476429467689,0.7925739139949615,0.038329543047823,500.7498588754917,332693.38095238095,82054.62457033536,-9106.13506493507,8,55600.15391694073,1.4147088727255417,0.608,0.82,0.673,108.394,0.611,-3.689,0.119
Acuérdate De Mí,Morat,0,32,-0.13507707292849544,-0.9264744829994215,-0.5409690718598519,483.7953685254223,15685.095238095239,30640.300826735278,81.72987012987075,7,48523.61911530816,0.42780664462289403,0.328,0.517,0.287,184.446,0.266,-6.124,0.0777
Adhiya,Karan Aujla,1,3,0.9999835805001838,-0.9999912101419658,-0.015515618674943915,441.03474100963115,125605.33333333333,13874.010043906292,-1090.1519480519446,3,12159.096639450647,1.160350738984596,0.753,0.758,0.794,92.063,0.0901,-7.845,0.168
Adios,EVERGLOW,0,21,-0.11270758094489865,-0.9753473756354821,-0.5463697837996687,435.9878312980667,12997.238095238095,9769.25327313911,70.59870129870147,13,15106.75126756246,0.975932671150284,0.633,0.706,0.399,128.185,0.000588,-5.137,0.0627
Afraid (feat. HARLEE),James Hype,0,109,-0.35355941983035244,-0.9181460316089488,-0.6159979835711107,470.55490989432326,42388.71428571428,23256.715184145472,-10.785714285714874,9,39723.15420667775,0.9302195593123939,0.744,0.78,0.762,125.997,0.101,-3.631,0.0529
Africa,TOTO,0,31,-0.16881829911189344,-0.9994414502849148,-0.4006578117706671,416.3819408864343,6653.714285714285,6892.4236123224955,-555.6584415584415,1,9231.128870701566,3.749489150530311,0.671,0.373,0.732,92.718,0.257,-18.064,0.0323
Afro Trap Pt. 7 (La puissance),MHD,1,3,-0.3024660851928237,-0.9429041057177635,-0.5560972945950414,480.65570100582437,24838.095238095237,30198.535796899887,320.8857142857153,14,50363.16868347345,0.8418807878510143,0.97,0.806,0.815,120.003,0.0955,-5.628,0.298
After Hours,The Weeknd,1,1,-0.23986389136728678,-0.999999999280242,-0.5593378366837629,494.5746500054809,31255.190476190477,44959.25085761555,-2103.5259740259758,4,68867.49831979888,2.679597971068946,0.651,0.567,0.138,108.953,0.0934,-5.941,0.0317
After School,Weeekly,1,3,-0.3838796343096537,-0.693018398432369,-0.6808898975783086,491.0839103029784,40659.28571428572,39336.19647909768,2307.6415584415586,20,62749.72665077913,0.45297467997518753,0.634,0.928,0.738,164.007,0.00719,-1.609,0.0514
Agora Eu Pego Mesmo,Os Barões Da Pisadinha,0,80,0.19738917600444558,-0.9399901116466487,-0.19741207404487537,456.6471179722844,109340.71428571429,24282.789955307962,3049.2298701298705,17,20787.109635781497,0.6367998376889924,0.815,0.887,0.952,172.032,0.592,-6.386,0.0459
Agua,Jarabe De Palo,0,26,-0.10428152210847647,-0.8224429101504782,-0.4801560826522783,505.5743523596567,34471.47619047619,52717.51986960136,258.18181818181876,17,82084.68109170858,0.7757491045688827,0.715,0.358,0.742,145.751,0.743,-15.522,0.033
Agua (with J Balvin),Tainy,0,57,-0.19004988154358526,-0.9577369862941406,-0.5114944207082917,469.3987537521983,14398.42857142857,23553.722230500316,-1206.1142857142859,6,36253.596532309726,3.617914269678687,0.778,0.651,0.569,100.094,0.167,-5.421,0.266
Ahora,J Balvin,1,8,-0.08987717444325294,-0.9496561842005334,-0.45495449847783553,451.85020474500027,9244.095238095239,14300.375209545618,380.596103896104,11,21768.669045844304,0.41385858098740136,0.81,0.784,0.817,88.001,0.0874,-3.223,0.0622
Ain't My Fault,Zara Larsson,0,39,0.09771204597923625,-0.9140872651467117,-0.4352217872158515,525.1932729946808,30657.428571428572,86339.88373011982,1476.8714285714284,14,122809.16571946084,0.23691628572137124,0.576,0.782,0.355,141.153,0.00778,-4.825,0.0296
Ain't No Sunshine,Bill Withers,0,28,-0.03548569708354078,-0.8991364249768181,-0.46155010080675835,560.6684665425771,106897.76190476191,210910.8280480063,-7923.145454545448,7,316618.0905255415,2.835739781832727,0.527,0.415,0.515,78.169,0.457,-11.451,0.122
Ain't Your Mama,Jennifer Lopez,0,33,0.018436366550696182,-0.9959550779578582,-0.34768411694392076,457.98548383580874,17153.428571428572,16765.85779428632,67.15974025974059,1,24384.05344461827,0.9516461486333861,0.757,0.678,0.82,120.075,0.0472,-5.529,0.233
Ainda Sou Tão Seu - Ao Vivo,Felipe Araújo,0,61,0.39060751369033075,-0.9775584425547682,-0.2234236824618721,429.3177236606126,60588.76190476191,8908.176377456954,249.86363636363635,18,10351.067538664793,0.9241004772713541,0.725,0.678,0.604,126.916,0.188,-5.268,0.0298
Airplane pt.2,BTS,1,3,-0.10128014919279303,-0.9298457681425127,-0.5163336575092989,519.4173537153397,36140.47619047619,76546.51827771077,2705.5987012987016,16,117097.26851921013,0.25903567581735754,0.77,0.817,0.866,139.979,0.0265,-4.092,0.0339
Ajab Si,KK,0,64,-0.6670410572369146,0.7970885003746653,0.21566089466171356,362.78737132369076,44988.28571428572,4936.081375639868,713.8974025974027,20,1743.8614910594247,0.7956601836617025,0.697,0.438,0.58,117.954,0.397,-8.411,0.0289
Ajnabee,Bhuvan Bam,0,31,0.5619040313672675,-0.25640053370591487,0.248342216631022,326.6634209879694,26231.944444444445,8635.416990975287,-1532.2693498451995,1,2919.81300889636,1.0,0.589,0.646,0.345,88.999,0.521,-8.157,0.0287
Alarm,Anne-Marie,0,43,0.08889925528968107,-0.9172562697727638,-0.44675251763557194,518.7115200608039,28730.190476190477,73559.08622818546,-1169.6337662337658,8,104901.92766980024,1.0135651786211894,0.756,0.589,0.811,146.928,0.0812,-5.093,0.232
Alcohol-Free,TWICE,1,2,0.6493468132620046,-0.9999999990649577,-0.01845187603649158,556.1338015111547,80456.61904761905,205418.33252807983,-10128.558441558453,0,220695.8216428213,3.6633240997229914,0.688,0.909,0.702,97.097,0.0474,-1.992,0.0624
Aldri tilbake,Rotlaus,0,13,0.5532536131327032,-0.9999998024024463,0.14667674871654504,402.740159135708,32342.095238095237,11719.779580670498,-1788.3779220779224,0,4862.94854460748,2.1762675905963067,0.611,0.867,0.669,129.979,0.226,-4.897,0.0317
Aliança,Tribalistas,0,51,-0.2795617410079229,-0.7475979177138229,-0.5914676959668032,483.7490707931824,72759.76190476191,29031.50874137363,430.0948051948056,0,45448.28166550964,0.9001098093310707,0.641,0.314,0.335,132.983,0.96,-13.932,0.032
Alien Blues,Vundabar,0,30,0.37744922604977593,-0.9318681879485605,-0.19479301364711146,508.27451295340586,29749.285714285714,60646.72144331571,823.0298701298701,9,72527.88240766444,0.0764622993095869,0.467,0.757,0.433,82.282,0.0807,-5.093,0.033
Alive,Pearl Jam,0,97,0.45855949046789074,-0.9998898895816658,-0.09263065643358752,206.10117505486684,7047.272727272727,5163.538781088185,-908.7181818181815,4,5185.267226479268,1.0,0.284,0.875,0.595,75.009,0.00752,-6.069,0.0422
All Around Me,Justin Bieber,0,11,0.05770818953096185,-0.8664838375877778,-0.41886134934349695,558.9903625542024,70352.61904761905,208903.1775544141,10348.925974025971,18,293137.238927793,0.1633762856129566,0.53,0.438,0.694,117.148,0.811,-7.564,0.0372
All I Ask,Adele,0,33,-0.376355212990307,-0.989056463072597,-0.5987317929534878,418.06686132547867,10383.714285714286,6679.122983081629,-114.15324675324699,7,11204.7105143328,1.1661164098801664,0.591,0.28,0.348,141.916,0.889,-5.494,0.0283
All I Wanna Do,Martin Jensen,0,86,-0.21567614179194283,-0.995669573101818,-0.42788481284104674,395.2247266433999,12736.047619047618,3665.7366761245694,130.7818181818183,14,5716.237167927868,0.8385778710438967,0.728,0.794,0.523,112.071,0.148,-3.992,0.0635
